time_s,time_h,NTP_uM,NXP_uM,nt_uM,A_uM,T_uM,AT_uM,a_uM,CP_uM,C_uM,TLcat_uM,D_nt_uM,D_TLcat_uM,mRNA_molecules_uM,protein_molecules_uM
3490,0.969444444444444,1464.8831215851,0.15767491093224,122.584760849724,294.261223871236,0.00394810636140138,1.8960518936386,27.5571354678874,19830.2678814304,169.732118569552,1.14948884433225,17.7250778989205,1.05051115566775,0.171687340125664,0.115786283478519
3500,0.972222222222222,1464.78268420755,0.157636232645787,122.889341277783,294.256040812483,0.00394718482241124,1.89605281517759,27.6607542521454,19829.9569440086,170.043055991406,1.14735278223549,17.8222856593784,1.05264721776451,0.17211392335824,0.116221656521619
3510,0.975,1464.68224744903,0.15759650490693,123.193679147487,294.250859014779,0.00394623663143835,1.89605376336856,27.7643465894463,19829.6460836521,170.353916347832,1.14522068952152,17.9197345514695,1.05477931047848,0.17254016687323,0.116656918443052
3520,0.977777777777778,1464.5818113077,0.15755573533498,123.497774650686,294.245678512526,0.00394526198131011,1.89605473801869,27.8679118005906,19829.3353024152,170.664697584743,1.14309255881416,18.0174243831636,1.05690744118584,0.172966070939337,0.117092066389036
3530,0.980555555555556,1464.48137578171,0.157513931496253,123.801627979084,294.240499339854,0.00394426106351565,1.89605573893648,27.9714492118112,19829.0246023355,170.975397664462,1.14096838275106,18.1153549625825,1.05903161724894,0.173391635825048,0.117527097528618
3540,0.983333333333333,1464.38094086921,0.157471100921476,124.10523932423,294.235321530694,0.00394323406866786,1.89605676593133,28.0749581532477,19828.7139854389,171.286014561109,1.13884815398332,18.2135260979995,1.06115184601669,0.173816861798642,0.117962009047259
3550,0.986111111111111,1464.28050656839,0.157427251090032,124.408608877522,294.230145118711,0.00394218118608391,1.89605781881392,28.1784379603206,19828.4034537352,171.596546264758,1.13673186517578,18.3119375978396,1.06326813482423,0.174241749128182,0.118396798152608
3560,0.988888888888889,1464.18007287742,0.157382389435066,124.711736830206,294.224970137324,0.00394110260392007,1.89605889739608,28.2818879732817,19828.0930092199,171.906990780076,1.13461950900692,18.4105892706795,1.06538049099308,0.174666298081521,0.118831462072612
3570,0.991666666666667,1464.07963979451,0.157336523343814,125.014623373377,294.219796619711,0.00393999850917994,1.89606000149082,28.3853075371814,19827.7826538737,172.217346126224,1.13251107816882,18.5094809252471,1.06748892183118,0.175090508926299,0.119265998055384
3580,0.994444444444444,1463.97920731786,0.157289660157944,125.31726869798,294.214624598809,0.00393886908772263,1.89606113091228,28.4886960018356,19827.4723896632,172.52761033676,1.13040656536713,18.6086123704216,1.06959343463287,0.175514381929944,0.119700403369057
