reaction_id,reactants,products,k1_author,active_at_reference,ATP_free_delta,ATP_carrier_delta,AMP_free_delta,AMP_carrier_delta,PPi_free_delta,PPi_carrier_delta,MetAMP_free_delta,MetAMP_carrier_delta,GlyAMP_free_delta,GlyAMP_carrier_delta,Met_free_delta,Met_carrier_delta,Gly_free_delta,Gly_carrier_delta,tRNAfMetCAU_free_delta,tRNAfMetCAU_carrier_delta,tRNAGlyGCC_free_delta,tRNAGlyGCC_carrier_delta,MettRNAfMetCAU_free_delta,MettRNAfMetCAU_carrier_delta,GlytRNAGlyGCC_free_delta,GlytRNAGlyGCC_carrier_delta,moiety_adenosine_delta,moiety_pyrophosphate_P_delta,moiety_phosphorus_total_delta,moiety_glycyl_delta,moiety_methionyl_delta,moiety_trna_gly_delta,moiety_trna_fmet_delta,moiety_enzyme_metrs_delta,moiety_enzyme_glyrs_delta
re0000000165,MetRS_Met_ATP:1,MetRS_MetAMP_PPi:1,60.0,true,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000166,MetRS_MetAMP_PPi:1,MetRS_Met_ATP:1,150.0,true,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000167,MetRS_MetAMP_PPi:1,MetRS_degraded:1|MetAMP:1|PPi:1,0.0,false,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000168,MetAMP:1,Met:1|AMP:1,0.0,false,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000169,MetRS_AMP:1,MetRS_degraded:1|AMP:1,0.0,false,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000170,MetRS_AMP:1,MetRS:1|AMP:1,1000.0,true,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000171,MetRS:1|AMP:1,MetRS_AMP:1,0.0,false,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000172,MetRS_MetAMP:1,MetRS:1|MetAMP:1,0.07,true,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000173,MetRS:1|MetAMP:1,MetRS_MetAMP:1,2.4,true,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000174,Met:1|AMP:1,MetAMP:1,0.0,false,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000175,MetRS_MetAMP:1|PPi:1,MetRS_MetAMP_PPi:1,0.0,false,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000176,GlytRNAGlyGCC:1,tRNAGlyGCC:1|Gly:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000177,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_degraded:1|GlyAMP:1|tRNAGlyGCC:1,0.0,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000178,GlyRS_GlyAMP_tRNAGlyGCC:1,GlyRS_AMP_GlytRNAGlyGCC:1,22.0,true,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000179,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_GlyAMP_tRNAGlyGCC:1,0.0,false,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000180,GlyRS_AMP_GlytRNAGlyGCC:1,GlyRS_GlytRNAGlyGCC:1|AMP:1,1000.0,true,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
re0000000181,GlyRS_GlytRNAGlyGCC:1|AMP:1,GlyRS_AMP_GlytRNAGlyGCC:1,0.0,false,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
