reaction_id,pathway,in_selected_cycle,route_class,reactants,products,k1_author,active_at_reference,subsystem_files
re0000000246,Met,false,enzyme_cycle_or_branch,MetRS_ATP_tRNAfMetCAU:1,MetRS_ATP:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000247,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP:1|tRNAfMetCAU:1,MetRS_Met_ATP_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
re0000000248,Met,false,enzyme_cycle_or_branch,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_Met_ATP:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000249,Met,true,enzyme_cycle_or_branch,MetRS_MetAMP_PPi:1|tRNAfMetCAU:1,MetRS_MetAMP_PPi_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
re0000000250,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_PPi_tRNAfMetCAU:1,MetRS_MetAMP_PPi:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000251,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP:1|tRNAfMetCAU:1,MetRS_MetAMP_tRNAfMetCAU:1,50.0,true,Aminoacylation_B_fMetCAU
re0000000252,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_tRNAfMetCAU:1,MetRS_MetAMP:1|tRNAfMetCAU:1,150.0,true,Aminoacylation_B_fMetCAU
re0000000253,Met,false,degradation_sink,MetRS_tRNAfMetCAU:1,MetRS_degraded:1|tRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000254,Met,false,degradation_sink,MetRS_ATP_tRNAfMetCAU:1,MetRS_degraded:1|tRNAfMetCAU:1|ATP:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000255,Met,false,degradation_sink,MetRS_Met_tRNAfMetCAU:1,MetRS_degraded:1|tRNAfMetCAU:1|Met:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000256,Met,false,degradation_sink,MetRS_Met_ATP_tRNAfMetCAU:1,MetRS_degraded:1|tRNAfMetCAU:1|ATP:1|Met:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000257,Met,false,degradation_sink,MetRS_MetAMP_PPi_tRNAfMetCAU:1,MetRS_degraded:1|tRNAfMetCAU:1|MetAMP:1|PPi:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000258,Met,false,degradation_sink,MettRNAfMetCAU:1,MettRNAfMetCAU_degraded:1,0.0,false,Aminoacylation_B_fMetCAU|Elongation_A_Met
re0000000259,Met,false,enzyme_cycle_or_branch,tRNAfMetCAU:1|Met:1,MettRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
re0000000260,Met,false,enzyme_cycle_or_branch,MetRS_MetAMP_tRNAfMetCAU:1|PPi:1,MetRS_MetAMP_PPi_tRNAfMetCAU:1,0.0,false,Aminoacylation_B_fMetCAU
